repo,created_at,age_years,bugs_exploited
rapid7/metasploit-framework,2011-08-30T06:13:20Z,13.63,6
joomla/joomla-cms,2011-09-27T02:07:38Z,13.55,4
torvalds/linux,2011-09-04T22:48:12Z,13.61,4
FreePBX/fw_ari,2014-01-07T21:03:36Z,11.27,2
sam-b/CVE-2014-4113,2016-02-07T14:18:45Z,9.19,2
drewlong/vbully,2017-07-28T20:44:48Z,7.71,2
dirtycow/dirtycow.github.io,2016-10-19T18:19:12Z,8.48,4
mazen160/struts-pwn,2017-03-12T02:02:25Z,8.09,2
danigargu/explodingcan,2018-01-03T02:08:15Z,7.28,2
roundcube/roundcubemail,2012-05-04T11:19:01Z,12.95,8
InQuest/malware-samples,2018-02-07T08:44:41Z,7.18,2
vysec/CVE-2018-4878,2018-02-10T09:30:18Z,7.18,2
matrix-org/synapse,2014-08-11T15:51:42Z,10.68,2
kbni/owlky,2017-11-07T10:10:18Z,7.44,2
w4fz5uck5/wp-file-manager-0day,2020-08-25T22:07:59Z,4.63,2
roughb8722/CVE-2021-3122-Details,2021-02-07T16:05:49Z,4.18,2
jitsi/jitsi-meet,2013-12-16T12:51:09Z,11.33,6
vector-im/element-desktop,2019-12-06T13:07:36Z,5.36,4
ethereum/go-ethereum,2013-12-26T13:05:46Z,11.3,2
UniSharp/laravel-filemanager,2015-07-29T04:46:07Z,9.72,6
johguse/profanity,2017-11-07T23:56:30Z,7.43,4
BigNerd95/Chimay-Red,2017-05-11T23:00:17Z,7.93,2
denoland/deno,2018-05-15T01:34:26Z,6.92,6
twitter/the-algorithm,2023-03-27T14:57:57Z,2.05,4
trustwallet/wallet-core,2019-02-14T18:25:54Z,6.16,2
gradle/gradle-build-action,2019-09-20T21:06:58Z,5.56,4
bitcoin/bitcoin,2010-12-19T15:16:43Z,14.33,14
dogecoin/dogecoin,2013-12-06T11:38:05Z,11.36,2
visualbasic6/drain,2023-04-12T22:07:16Z,2.0,2
acmesh-official/acme.sh,2015-12-26T12:56:33Z,9.3,4
libbitcoin/libbitcoin-explorer,2014-09-03T08:56:47Z,10.62,6
libbitcoin/libbitcoin-system,2013-05-15T05:35:30Z,11.92,2
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,13.2,2
Azure/AKS,2017-10-25T16:30:10Z,7.47,2
Kong/kong,2014-11-17T23:56:08Z,10.41,2
akka/akka-http,2016-08-19T11:33:36Z,8.65,2
alibaba/tengine,2012-03-21T06:34:37Z,13.07,2
apache/apisix,2019-04-10T02:02:05Z,6.01,2
apache/httpd-site,2021-06-16T22:44:51Z,3.82,2
apache/httpd,2009-05-20T02:02:59Z,15.91,2
apache/tomcat,2011-10-01T07:00:19Z,13.54,2
apache/trafficserver,2009-10-31T08:00:10Z,15.46,2
arkrwn/PoC,2023-10-12T09:17:33Z,1.5,2
bcdannyboy/CVE-2023-44487,2023-10-10T14:20:42Z,1.51,2
caddyserver/caddy,2015-01-13T19:45:03Z,10.25,4
dotnet/announcements,2017-03-17T00:03:59Z,8.08,2
dotnet/core,2014-11-18T00:44:57Z,10.41,2
eclipse/jetty.project,2011-07-14T01:11:57Z,13.76,2
envoyproxy/envoy,2016-08-08T15:07:24Z,8.68,2
etcd-io/etcd,2013-07-06T21:57:21Z,11.78,2
facebook/proxygen,2014-10-03T23:18:42Z,10.53,2
golang/go,2014-08-19T04:33:40Z,10.66,2
grpc/grpc-go,2014-12-08T18:59:34Z,10.35,2
grpc/grpc,2014-12-08T18:58:53Z,10.35,1
h2o/h2o,2014-08-16T23:59:03Z,10.66,4
haproxy/haproxy,2018-04-09T15:17:42Z,7.02,2
icing/mod_h2,2015-03-10T14:57:40Z,10.1,2
junkurihara/rust-rpxy,2022-06-15T22:47:53Z,2.83,2
kazu-yamamoto/http2,2013-11-27T05:43:27Z,11.38,4
kubernetes/kubernetes,2014-06-06T22:56:04Z,10.86,2
line/armeria,2015-11-16T04:04:01Z,9.41,2
linkerd/website,2018-08-16T20:35:56Z,6.66,2
micrictor/http2-rst-stream,2023-10-07T14:16:19Z,1.52,2
microsoft/CBL-Mariner,2020-07-22T19:27:14Z,4.73,2
netty/netty,2010-11-09T09:22:21Z,14.44,2
nghttp2/nghttp2,2013-07-16T15:12:33Z,11.75,4
ninenines/cowboy,2011-03-09T19:55:52Z,14.1,2
nodejs/node,2014-11-26T19:57:11Z,10.38,2
openresty/openresty,2010-01-20T03:57:59Z,15.24,2
opensearch-project/data-prepper,2021-04-06T02:15:04Z,4.02,2
oqtane/oqtane.framework,2019-05-05T00:00:27Z,5.95,2
projectcontour/contour,2017-10-26T20:35:22Z,7.47,2
tempesta-tech/tempesta,2014-08-19T18:44:05Z,10.65,2
varnishcache/varnish-cache,2015-10-05T12:04:36Z,9.53,2
kyverno/kyverno,2019-02-04T16:25:48Z,6.19,34
bitcoinknots/bitcoin,2016-02-25T11:03:39Z,9.14,2
CloudCannon/pagefind,2022-05-03T02:17:32Z,2.95,2
webpack/webpack,2012-03-10T10:08:14Z,13.1,1
WebAssembly/proposals,2018-10-16T21:53:29Z,6.49,1
bytecodealliance/wasmtime,2017-08-29T14:01:55Z,7.63,3
webassembly/tail-call,2017-07-12T17:51:00Z,7.76,1
usmannasir/cyberpanel,2017-10-24T13:51:05Z,7.47,2
horde/base,2017-10-03T15:35:34Z,7.53,1
horde/imp,2017-10-03T15:32:03Z,7.53,3
horde/webmail,2017-10-03T15:41:31Z,7.53,1
natasaka/CVE-2025-30349,2025-03-27T20:22:45Z,0.04,1
element-hq/synapse,2023-12-13T14:40:43Z,1.33,3
yiisoft/yii2,2012-02-13T15:32:36Z,13.17,4
